RunID,Timestamp,GitCommit,AgentModel,LawCorpus,VectorStoreID,ResponsesStore,SDKRetry,ManualRetry,ID,Category,UserQuestion,AppState,ExpectedToolTypes,ActualTools,ToolResults,ToolCallCount,ResponseRounds,Actions,FinalResponse,LatencyMs,InputTokens,OutputTokens,TotalTokens,TokenUsageAvailable,Error,Classification,Notes
production-agent-integrated-30-35d214b4e442,2026-09-16T11:32:31+09:00,c8577f466277062ec7a06a4385ab62b6257ed61c,gpt-5.6-luna,law_store_v2,vs_6aa764aaf2008191af233d99e6fd6cd2,false,0,0,1,A,안녕하세요. 집찾GO에서 무엇을 도와줄 수 있나요?,null,,[],[],0,1,[],,93,0,0,0,Y,APIConnectionError: Connection error.,PENDING_REVIEW,
production-agent-integrated-30-35d214b4e442,2026-09-16T11:32:31+09:00,c8577f466277062ec7a06a4385ab62b6257ed61c,gpt-5.6-luna,law_store_v2,vs_6aa764aaf2008191af233d99e6fd6cd2,false,0,0,2,A,집을 보러 갈 때 채광을 확인하는 간단한 팁 알려줘.,null,,[],[],0,1,[],,3,0,0,0,Y,APIConnectionError: Connection error.,PENDING_REVIEW,
production-agent-integrated-30-35d214b4e442,2026-09-16T11:32:31+09:00,c8577f466277062ec7a06a4385ab62b6257ed61c,gpt-5.6-luna,law_store_v2,vs_6aa764aaf2008191af233d99e6fd6cd2,false,0,0,3,A,아파트와 오피스텔의 생활상 차이를 쉽게 설명해줘.,null,,[],[],0,1,[],,25,0,0,0,Y,APIConnectionError: Connection error.,PENDING_REVIEW,
production-agent-integrated-30-35d214b4e442,2026-09-16T11:32:31+09:00,c8577f466277062ec7a06a4385ab62b6257ed61c,gpt-5.6-luna,law_store_v2,vs_6aa764aaf2008191af233d99e6fd6cd2,false,0,0,4,B,분당구에서 6억 이하 아파트 찾아줘.,null,property,[],[],0,1,[],,22,0,0,0,Y,APIConnectionError: Connection error.,PENDING_REVIEW,
production-agent-integrated-30-35d214b4e442,2026-09-16T11:32:31+09:00,c8577f466277062ec7a06a4385ab62b6257ed61c,gpt-5.6-luna,law_store_v2,vs_6aa764aaf2008191af233d99e6fd6cd2,false,0,0,5,B,정자동에서 5억 이하 오피스텔 매물 찾아줘.,null,property,[],[],0,1,[],,15,0,0,0,Y,APIConnectionError: Connection error.,PENDING_REVIEW,
production-agent-integrated-30-35d214b4e442,2026-09-16T11:32:31+09:00,c8577f466277062ec7a06a4385ab62b6257ed61c,gpt-5.6-luna,law_store_v2,vs_6aa764aaf2008191af233d99e6fd6cd2,false,0,0,6,B,판교동 빌라 매물 검색해줘.,null,property,[],[],0,1,[],,16,0,0,0,Y,APIConnectionError: Connection error.,PENDING_REVIEW,
production-agent-integrated-30-35d214b4e442,2026-09-16T11:32:31+09:00,c8577f466277062ec7a06a4385ab62b6257ed61c,gpt-5.6-luna,law_store_v2,vs_6aa764aaf2008191af233d99e6fd6cd2,false,0,0,7,B,이 주변에 현재 등록된 아파트 매물이 있나요?,"{""current_page"":""map"",""map_center"":{""lat"":37.394,""lng"":127.111},""zoom"":6,""map_bounds"":{""south"":37.38,""west"":127.09,""north"":37.41,""east"":127.13}}",property,[],[],0,1,[],,46,0,0,0,Y,APIConnectionError: Connection error.,PENDING_REVIEW,
production-agent-integrated-30-35d214b4e442,2026-09-16T11:32:31+09:00,c8577f466277062ec7a06a4385ab62b6257ed61c,gpt-5.6-luna,law_store_v2,vs_6aa764aaf2008191af233d99e6fd6cd2,false,0,0,8,B,선택한 정자동에서 7억 이하 아파트 보여줘.,"{""current_page"":""map"",""selected_region"":{""type"":""legal_dong"",""code"":""41135103"",""name"":""정자동"",""full_name"":""성남시 분당구 정자동"",""center"":{""lat"":37.366,""lng"":127.107},""bounds"":{""south"":37.35,""west"":127.09,""north"":37.38,""east"":127.13}},""zoom"":6}",property,[],[],0,1,[],,6,0,0,0,Y,APIConnectionError: Connection error.,PENDING_REVIEW,
production-agent-integrated-30-35d214b4e442,2026-09-16T11:32:31+09:00,c8577f466277062ec7a06a4385ab62b6257ed61c,gpt-5.6-luna,law_store_v2,vs_6aa764aaf2008191af233d99e6fd6cd2,false,0,0,9,C,정자역 근처로 지도 이동해줘.,"{""current_page"":""map"",""zoom"":3}","station,map",[],[],0,1,[],,29,0,0,0,Y,APIConnectionError: Connection error.,PENDING_REVIEW,
production-agent-integrated-30-35d214b4e442,2026-09-16T11:32:31+09:00,c8577f466277062ec7a06a4385ab62b6257ed61c,gpt-5.6-luna,law_store_v2,vs_6aa764aaf2008191af233d99e6fd6cd2,false,0,0,10,C,지도를 조금 확대해줘.,"{""current_page"":""map"",""map_center"":{""lat"":37.394,""lng"":127.111},""zoom"":5}",map,[],[],0,1,[],,31,0,0,0,Y,APIConnectionError: Connection error.,PENDING_REVIEW,
production-agent-integrated-30-35d214b4e442,2026-09-16T11:32:31+09:00,c8577f466277062ec7a06a4385ab62b6257ed61c,gpt-5.6-luna,law_store_v2,vs_6aa764aaf2008191af233d99e6fd6cd2,false,0,0,11,C,정자동 경계를 지도에서 선택해줘.,"{""current_page"":""map"",""zoom"":5}",map,[],[],0,1,[],,21,0,0,0,Y,APIConnectionError: Connection error.,PENDING_REVIEW,
production-agent-integrated-30-35d214b4e442,2026-09-16T11:32:31+09:00,c8577f466277062ec7a06a4385ab62b6257ed61c,gpt-5.6-luna,law_store_v2,vs_6aa764aaf2008191af233d99e6fd6cd2,false,0,0,12,D,판교역 위치를 찾아서 지도에 보여줘.,"{""current_page"":""map"",""zoom"":4}",station,[],[],0,1,[],,10,0,0,0,Y,APIConnectionError: Connection error.,PENDING_REVIEW,
production-agent-integrated-30-35d214b4e442,2026-09-16T11:32:31+09:00,c8577f466277062ec7a06a4385ab62b6257ed61c,gpt-5.6-luna,law_store_v2,vs_6aa764aaf2008191af233d99e6fd6cd2,false,0,0,13,D,정자동과 경계가 맞닿은 동은 어디야?,"{""current_page"":""map""}",adjacency,[],[],0,1,[],,19,0,0,0,Y,APIConnectionError: Connection error.,PENDING_REVIEW,
production-agent-integrated-30-35d214b4e442,2026-09-16T11:32:31+09:00,c8577f466277062ec7a06a4385ab62b6257ed61c,gpt-5.6-luna,law_store_v2,vs_6aa764aaf2008191af233d99e6fd6cd2,false,0,0,14,D,선택한 이 동의 옆 동을 알려줘.,"{""current_page"":""map"",""selected_region"":""정자동""}",adjacency,[],[],0,1,[],,10,0,0,0,Y,APIConnectionError: Connection error.,PENDING_REVIEW,
production-agent-integrated-30-35d214b4e442,2026-09-16T11:32:31+09:00,c8577f466277062ec7a06a4385ab62b6257ed61c,gpt-5.6-luna,law_store_v2,vs_6aa764aaf2008191af233d99e6fd6cd2,false,0,0,15,D,서현역을 지도에서 찾을 수 있나요?,"{""current_page"":""map"",""zoom"":4}",station,[],[],0,1,[],,23,0,0,0,Y,APIConnectionError: Connection error.,PENDING_REVIEW,
production-agent-integrated-30-35d214b4e442,2026-09-16T11:32:31+09:00,c8577f466277062ec7a06a4385ab62b6257ed61c,gpt-5.6-luna,law_store_v2,vs_6aa764aaf2008191af233d99e6fd6cd2,false,0,0,16,E,묵시적으로 갱신된 전세 계약을 임차인이 해지하면 언제 효력이 생기나요?,null,law,[],[],0,1,[],,41,0,0,0,Y,APIConnectionError: Connection error.,PENDING_REVIEW,
production-agent-integrated-30-35d214b4e442,2026-09-16T11:32:31+09:00,c8577f466277062ec7a06a4385ab62b6257ed61c,gpt-5.6-luna,law_store_v2,vs_6aa764aaf2008191af233d99e6fd6cd2,false,0,0,17,E,전입신고와 집 인도를 마치면 대항력은 정확히 언제 생기나요?,null,law,[],[],0,1,[],,74,0,0,0,Y,APIConnectionError: Connection error.,PENDING_REVIEW,
production-agent-integrated-30-35d214b4e442,2026-09-16T11:32:31+09:00,c8577f466277062ec7a06a4385ab62b6257ed61c,gpt-5.6-luna,law_store_v2,vs_6aa764aaf2008191af233d99e6fd6cd2,false,0,0,18,E,매매 계약을 체결하면 거래신고는 누가 언제까지 해야 하나요?,null,law,[],[],0,1,[],,5,0,0,0,Y,APIConnectionError: Connection error.,PENDING_REVIEW,
production-agent-integrated-30-35d214b4e442,2026-09-16T11:32:31+09:00,c8577f466277062ec7a06a4385ab62b6257ed61c,gpt-5.6-luna,law_store_v2,vs_6aa764aaf2008191af233d99e6fd6cd2,false,0,0,19,E,중개사가 계약 전에 확인하고 설명해야 할 법적 사항은 무엇인가요?,null,law,[],[],0,1,[],,22,0,0,0,Y,APIConnectionError: Connection error.,PENDING_REVIEW,
production-agent-integrated-30-35d214b4e442,2026-09-16T11:32:31+09:00,c8577f466277062ec7a06a4385ab62b6257ed61c,gpt-5.6-luna,law_store_v2,vs_6aa764aaf2008191af233d99e6fd6cd2,false,0,0,20,F,분당구 6억 이하 아파트를 찾아 지도에 보여줘.,"{""current_page"":""map"",""zoom"":4}","property,map",[],[],0,1,[],,3,0,0,0,Y,APIConnectionError: Connection error.,PENDING_REVIEW,
